    T[sec] F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  P4  T6  O1  O2 
0.73 8.899 11.78 6.247 9.753 6.787 9.169 0 -0.04494 -0.7738 -4.135 0.172 -15.48 -13.57 -7.64 -17.26
0.735 9.348 11.01 6.607 7.191 4.854 6.966 1.169 -1.528 -3.826 -5.483 -1.634 -15.56 -15.37 -9.978 -16.45
0.74 7.191 7.685 7.101 4.315 1.573 3.371 3.865 -1.348 -5.632 -6.562 -3.267 -12.47 -13.84 -10.61 -11.51
0.745 4.404 4.854 8.045 3.371 -0.4045 1.483 5.933 -0.3596 -5.675 -6.292 -2.837 -8.512 -10.61 -8.36 -5.933
0.75 3.326 4.449 8.449 4.404 0.3146 2.517 5.438 -0.1798 -4.514 -3.955 0 -5.675 -7.461 -3.416 -2.157
0.755 3.955 5.438 7.416 5.663 2.427 4.225 2.382 -1.079 -3.138 -0.2697 3.353 -4.213 -5.034 2.427 0
0.76 4.135 5.034 4.989 5.528 2.876 3.281 -1.213 -2.022 -1.892 2.966 4.643 -2.923 -2.427 6.831 2.067
0.765 1.618 1.393 2.112 3.506 0.2247 -1.348 -3.73 -1.933 -1.032 4.404 2.665 -1.032 0.6292 8.09 4.404
0.77 -3.056 -4.045 -0.04494 0.4944 -4.045 -7.101 -4.315 -0.4494 -0.3869 3.865 -1.032 1.548 4.225 6.652 6.472
0.775 -7.371 -7.775 -0.6292 -1.933 -6.876 -9.843 -2.787 2.067 0.2579 2.517 -3.783 4.643 8 4.404 7.91
0.78 -8.449 -7.011 0.4494 -2.876 -6.247 -7.461 0.5393 4.809 0.9888 1.888 -3.525 7.48 10.97 3.236 8.719
0.785 -5.843 -2.337 1.888 -3.146 -2.472 -1.213 4.674 6.247 1.075 2.787 -0.172 8.856 12.49 3.775 9.169
0.79 -1.348 2.876 2.022 -4 2.427 5.483 8.36 5.618 0.08598 4.674 4.385 8.856 12.49 5.483 9.888
0.795 2.157 5.798 1.079 -5.393 6.337 9.978 11.37 4 -1.032 7.011 8.684 8.856 12.13 8.18 11.96
0.8 3.056 6.022 0.5843 -5.843 8.674 11.87 14.02 3.461 -0.9888 9.528 11.87 10.49 12.31 11.69 14.92
0.805 2.247 5.258 1.348 -4.539 10.11 12.67 15.73 4.494 0.4729 11.69 14.19 12.9 12.67 15.28 16.72
0.81 1.348 4.899 2.202 -2.427 11.1 13.17 15.15 5.528 2.321 12.94 15.39 13.58 11.96 17.44 15.46
0.815 0.9888 4.494 1.618 -1.213 10.65 12.45 11.73 5.079 3.224 12.58 14.7 11.09 9.618 16.72 11.15
0.82 0.08989 2.562 -0.6292 -1.573 7.506 8.899 6.292 2.787 2.665 10.07 11.26 5.331 5.843 12.58 5.124
0.825 -1.978 -1.303 -3.551 -2.787 1.843 2.427 0.3596 -0.809 1.032 5.573 5.417 -1.892 1.169 5.663 -1.618
0.83 -4.494 -5.573 -5.573 -3.461 -4.135 -4.494 -4.494 -4.629 -1.118 0.08989 -1.376 -8.684 -3.596 -1.978 -8.09
0.835 -5.753 -7.461 -5.438 -2.652 -8.09 -9.169 -6.921 -7.416 -3.138 -5.124 -7.308 -13.24 -7.64 -8.449 -13.12
0.84 -4.764 -5.708 -3.281 -0.6742 -9.079 -10.07 -6.652 -8.629 -4.772 -8.899 -11.09 -15.48 -10.61 -12.31 -15.64
0.845 -2.067 -1.663 -1.034 0.6742 -7.955 -8.27 -5.303 -9.124 -6.448 -10.88 -12.55 -16.42 -12.67 -13.57 -15.91
0.85 0.809 1.663 -0.5843 0.04494 -6.337 -6.022 -5.124 -9.798 -8.254 -11.06 -12.04 -16.34 -13.57 -12.58 -13.93
0.855 2.337 2.292 -1.618 -1.708 -5.393 -4.944 -6.517 -9.708 -8.727 -9.618 -9.802 -13.5 -12.13 -9.708 -9.528
0.86 1.978 0.5393 -1.798 -2.157 -4.944 -5.034 -7.73 -6.787 -6.105 -7.101 -6.105 -6.191 -7.73 -5.124 -3.056
0.865 0.9888 -1.438 0.809 0.4494 -3.865 -4.674 -6.427 -0.1348 -0.172 -4.045 -1.462 4.041 -1.348 -0.08989 3.685
